generation,index,fitness,individual,state
4,36,0.01957428,"""0.7927867;0.4648053""","""Rt 0.0000 - Step 1"""
4,37,0.008878844,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 20"""
4,38,0.007708124,"""0.7194289;0.39710924""","""Rt 0.0000 - Step 24"""
4,39,0.02333878,"""0.7672322;0.26153922""","""Rt 0.0000 - Step 14"""
4,40,0.047763206,"""0.55901206;0.007859703""","""Rt 2.9005 - Step 68"""
4,41,0.036061157,"""0.73899245;0.11834598""","""Rt 2.8990 - Step 68"""
4,42,0.03724855,"""0.9088819;0.6457598""","""Rt 0.0000 - Step 22"""
4,43,0.036654014,"""0.91337025;0.6076605""","""Rt 0.0000 - Step 24"""
4,44,0.055755205,"""0.9571504;0.5127191""","""Rt 0.0000 - Step 29"""
4,45,0.025468776,"""0.76769745;0.31406856""","""Rt 0.0000 - Step 34"""
4,46,0.06413407,"""0.97108126;0.5006962""","""Rt 0.0000 - Step 33"""
4,47,0.030208344,"""0.764547;0.22161204""","""Rt 0.0000 - Step 44"""
4,48,0.01575123,"""0.7927867;0.4148053""","""Rt 0.0000 - Step 5"""
4,49,0.05042404,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 56"""
4,50,0.0522103,"""0.92844546;0.36699653""","""Rt 0.0000 - Step 32"""
4,51,0.042926062,"""0.9138355;0.6601898""","""Rt 0.0000 - Step 22"""
4,52,0.024293039,"""0.35901204;0.007859703""","""Rt 2.8973 - Step 68"""
4,53,0.011580447,"""0.74498343;0.5003753""","""Rt 0.0000 - Step 10"""
4,54,0.020133307,"""0.78559583;0.36699653""","""Rt 0.0000 - Step 36"""
4,55,0.016174497,"""0.5623958;0.14448732""","""Rt 0.0000 - Step 1"""
4,56,0.0005853543,"""0.5573469;0.38955095""","""Rt 0.0000 - Step 19"""
4,57,0.026401887,"""0.7589022;0.18225971""","""Rt 0.0000 - Step 59"""
4,58,0.0042451704,"""0.62447786;0.25204563""","""Rt 0.0000 - Step 3"""
4,59,0.023304319,"""0.7672322;0.31153923""","""Rt 0.0000 - Step 38"""
5,0,0.026592946,"""0.29693;0.00030139834""","""Rt 2.9212 - Step 68"""
5,1,0.05040692,"""0.91337025;0.40766045""","""Rt 0.0000 - Step 26"""
5,2,0.048165586,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 52"""
5,3,0.08690858,"""1;0.5127191""","""Rt 0.0000 - Step 25"""
5,4,0.03693864,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 29"""
5,5,0.015007695,"""0.8143008;0.5127191""","""Rt 0.0000 - Step 12"""
5,6,0.081790954,"""1;0.6076605""","""Rt 0.0000 - Step 23"""
5,7,0.027245691,"""0.29693;0.00030139834""","""Rt 2.8977 - Step 68"""
5,8,0.048301823,"""0.9278617;0.48867327""","""Rt 0.0000 - Step 31"""
5,9,0.05611866,"""0.62109405;0.015418008""","""Rt 2.8960 - Step 68"""
5,10,0.040851466,"""0.91337025;0.6076605""","""Rt 0.0000 - Step 23"""
5,11,0.041940812,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 4"""
5,12,0.021599613,"""0.62109405;0.11541801""","""Rt 2.9133 - Step 68"""
5,13,0.038110666,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 55"""
5,14,0.046680473,"""0.62109405;0.015418008""","""Rt 2.8922 - Step 68"""
5,15,0.010431984,"""0.5609134;0.14324547""","""Rt 2.9722 - Step 64"""
5,16,0.084812626,"""1;0.5127191""","""Rt 0.0000 - Step 27"""
5,17,0.05210172,"""0.62109405;0.015418008""","""Rt 2.8931 - Step 68"""
5,18,0.056220792,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 45"""
5,19,0.022248326,"""0.9143008;0.6127191""","""Rt 0.0000 - Step 17"""
5,20,0.006991162,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 4"""
5,21,0.08446495,"""1;0.40766045""","""Rt 0.0000 - Step 26"""
5,22,0.03619098,"""0.9143008;0.6127191""","""Rt 0.0000 - Step 27"""
5,23,0.05832262,"""0.62109405;0""","""Rt 2.8903 - Step 68"""
5,24,0.06267303,"""0.7210941;0.015418008""","""Rt 2.8923 - Step 68"""
5,25,0.08385521,"""1;0.5127191""","""Rt 0.0000 - Step 26"""
5,26,0.036096253,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 30"""
5,27,0.04407849,"""0.91337025;0.40766045""","""Rt 0.0000 - Step 34"""
5,28,0.05912745,"""0.7210941;0.015418008""","""Rt 2.8932 - Step 68"""
5,29,0.08629281,"""1;0.5127191""","""Rt 0.0000 - Step 28"""
5,30,0.0622782,"""0.9566851;0.50766045""","""Rt 0.0000 - Step 20"""
5,31,0.055694856,"""0.9571504;0.5627191""","""Rt 0.0000 - Step 7"""
5,32,0.0041275625,"""0.6051501;0.30398095""","""Rt 0.0000 - Step 1"""
5,33,0.045855295,"""0.91393083;0.5481669""","""Rt 0.0000 - Step 12"""
5,34,0.04870928,"""0.8389925;0.11834598""","""Rt 2.8916 - Step 68"""
5,35,0.022799343,"""0.8423763;0.4549736""","""Rt 0.0000 - Step 20"""
5,36,0.06275667,"""0.9571504;0.5627191""","""Rt 0.0000 - Step 25"""
5,37,0.039293777,"""0.9071504;0.5127191""","""Rt 0.0000 - Step 24"""
5,38,0.035241596,"""0.6410037;0.07933174""","""Rt 2.9104 - Step 68"""
5,39,0.03145803,"""0.76769745;0.26406854""","""Rt 0.0000 - Step 40"""
5,40,0.033414587,"""0.83045673;0.32798228""","""Rt 0.0000 - Step 37"""
5,41,0.05439043,"""0.9566851;0.5601898""","""Rt 0.0000 - Step 25"""
5,42,0.08040095,"""1;0.5601898""","""Rt 0.0000 - Step 25"""
5,43,0.0792628,"""0.9855959;0.36699653""","""Rt 0.0000 - Step 32"""
5,44,0.03248733,"""0.810547;0.26406854""","""Rt 0.0000 - Step 31"""
5,45,0.024252899,"""0.7876071;0.3779823""","""Rt 0.0000 - Step 33"""
5,46,0.032868665,"""0.91393083;0.5481669""","""Rt 0.0000 - Step 10"""
5,47,0.028621376,"""0.83732736;0.4000372""","""Rt 0.0000 - Step 5"""
5,48,0.03186791,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 20"""
5,49,0.048211224,"""0.62109405;0.015418008""","""Rt 2.8986 - Step 68"""
5,50,0.08375805,"""1;0.5127191""","""Rt 0.0000 - Step 26"""
5,51,0.039170526,"""0.9;0.5127191""","""Rt 0.0000 - Step 32"""
5,52,0.03744128,"""0.45901203;0.007859703""","""Rt 2.8831 - Step 68"""
5,53,0.028782329,"""0.6410037;0.07933174""","""Rt 0.0000 - Step 1"""
5,54,0.013250989,"""0.78513056;0.41446722""","""Rt 0.0000 - Step 15"""
5,55,0.08493687,"""1;0.5601898""","""Rt 0.0000 - Step 24"""
5,56,0.011872538,"""0.74237627;0.3549736""","""Rt 0.0000 - Step 16"""
5,57,0.041195754,"""0.8672322;0.31153923""","""Rt 0.0000 - Step 35"""
5,58,0.028602552,"""0.810547;0.36406854""","""Rt 0.0000 - Step 32"""
5,59,0.019427525,"""0.7672322;0.31153923""","""Rt 0.0000 - Step 35"""
6,0,0.047996216,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 45"""
6,1,0.08578856,"""1;0.5127191""","""Rt 0.0000 - Step 30"""
6,2,0.08494197,"""1;0.40766045""","""Rt 0.0000 - Step 27"""
6,3,0.08549449,"""1;0.5127191""","""Rt 0.0000 - Step 25"""
6,4,0.018561495,"""0.62109405;0.11541801""","""Rt 0.0000 - Step 1"""
6,5,0.021845937,"""0.62109405;0.1""","""Rt 2.8994 - Step 68"""
6,6,0.08781002,"""1;0.40766045""","""Rt 0.0000 - Step 32"""
6,7,0.08294658,"""1;0.5127191""","""Rt 0.0000 - Step 27"""
6,8,0.05542671,"""0.91337025;0.30766046""","""Rt 0.0000 - Step 41"""
6,9,0.040053587,"""0.7210941;0.11541801""","""Rt 2.9108 - Step 68"""
6,10,0.054082833,"""0.62109405;0.015418008""","""Rt 2.8894 - Step 68"""
6,11,0.038678903,"""0.9;0.5127191""","""Rt 0.0000 - Step 20"""
6,12,0.036985494,"""0.9143008;0.5127191""","""Rt 0.0000 - Step 7"""
6,13,0.076924115,"""1;0.5127191""","""Rt 0.0000 - Step 21"""
6,14,0.06617837,"""0.7210941;0.015418008""","""Rt 2.8901 - Step 68"""
6,15,0.04615262,"""0.8568909;0.32127395""","""Rt 0.0000 - Step 33"""
6,16,0.08614789,"""1;0.5127191""","""Rt 0.0000 - Step 22"""
6,17,0.027601179,"""0.62109405;0.11541801""","""Rt 2.8995 - Step 68"""
6,18,0.0596267,"""0.8568909;0.12127396""","""Rt 2.8937 - Step 68"""
6,19,0.085138775,"""1;0.5127191""","""Rt 0.0000 - Step 27"""
6,20,0.035775833,"""0.521094;0.015418008""","""Rt 2.9011 - Step 68"""
6,21,0.054970823,"""0.62109405;0""","""Rt 2.8895 - Step 68"""
6,22,0.06799042,"""0.7210941;0""","""Rt 2.8903 - Step 68"""
6,23,0.04421107,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 21"""
